,sku,price,attribute
0,AAFE40,77990,7
1,AAFE45,79990,7
2,AAFE50,82990,7
3,AAFE60,94990,7
4,AAFE60E,92990,7
5,AAFE80,106990,7
6,AAFE90,111990,7
7,AET40,59990,7
8,AF40,137990,7
9,AF45,140990,7
10,AF50,144990,7
11,AF60,152990,7
12,AF80,166990,7
13,AF90,174990,7
14,AKL30,56990,7
15,AKL40,59990,7
16,AML100,93990,7
17,AML30,57990,7
18,AML35,59990,7
19,AML40,61990,7
20,AML40P,73990,7
21,AML45,63990,7
22,AML45P,77990,7
23,AML50,66990,7
24,AML60,73990,7
25,AML60E,71990,7
26,AML60P,91990,7
27,AML70,78990,7
28,AML80,82990,7
29,AML80P,120990,7
30,AML90,86990,7
31,AML90P,129990,7
32,AMO100,89990,7
33,AMO60,69990,7
34,AMO60E,67990,7
35,AMO60P,88990,7
36,AMO70,74990,7
37,AMO80,77990,7
38,AMO80P,110990,7
39,AMO90,82990,7
40,AMO90P,116990,7
41,AR20,72990,7
42,AS105,78990,7
43,AS110,79990,7
44,AS110MAGIC,77990,7
45,AS110P,117990,7
46,AS110VT,77990,7
47,AS95,74990,7
48,ASL90,91990,7
49,ASM105,73990,7
50,ASM110,76990,7
51,ASM95,70990,7
52,ASZB45,0,7
53,ASZB60,0,7
54,ASZHS45,95990,7
55,ASZHS60,107990,7
56,ATF60,58990,7
57,ATF60P,78990,7
58,AVZ30,49990,7
59,EF50,61990,7
60,EF60,63990,7
61,EF60_72,68990,7
62,EFT50,56990,7
63,EFT50_68,56990,7
64,EFT50_68E,54990,7
65,EFT50F,68990,7
66,EFT60,62990,7
67,EFT60_68,65990,7
68,EFT60_68E,64990,7
69,EFT60F,70990,7
70,F100,90990,7
71,F30,54990,7
72,F30_2A,55990,7
73,F35,56990,7
74,F35_2A,57990,7
75,F40,59990,7
76,F40_2A,59990,7
77,F45,61990,7
78,F45_2A,61990,7
79,F50,64990,7
80,F60,71990,7
81,F60E,68990,7
82,F70,76990,7
83,F80,79990,7
84,F90,84990,7
85,FF90,118990,7
86,FFM60,74990,7
87,FFZ45,90990,7
88,FFZ50,91990,7
89,FFZ60,96990,7
90,FFZ70,104990,7
91,FFZ80,107990,7
92,FFZ90,113990,7
93,FKF30,63990,7
94,FKF35,61990,7
95,FKF40,66990,7
96,FKF45,63990,7
97,FKF50,65990,7
98,FKF60,73990,7
99,FKF70,75990,7
100,FKF80,79990,7
101,FKF90,83990,7
102,FMF30,56990,7
103,FMF35,57990,7
104,FMF40,58990,7
105,FMF45,59990,7
106,FMF50,61990,7
107,FMF60,63990,7
108,FMF70,65990,7
109,FMF80,67990,7
110,FMF90,70990,7
111,FMFNY20,38990,7
112,FMFSL60,69990,7
113,FMFSZ,53990,7
114,FMFVZ30,40990,7
115,FNY20,44990,7
116,FSL60,82990,7
117,FSÜ,69990,7
118,FSZ,65990,7
119,FSZ_2A,70990,7
120,FÜ40,60990,7
121,FÜ45,60990,7
122,FÜ80,89990,7
123,FÜ80F,0,7
124,FÜ90,92990,7
125,FÜZ45,64990,7
126,FVZ30,46990,7
127,FZN80,0,7
128,K40,133990,7
129,K40R,125990,7
130,K60,177990,7
131,K60F,257990,7
132,K60R,161990,7
133,KF60,112990,7
134,KF60F,187990,7
135,KMTB60,149990,7
136,KMTB601F,181990,7
137,KMTB602F,218990,7
138,KMTB60F,230990,7
139,KMTB60K,179990,7
140,KMTH60,167990,7
141,KMTH60W,166990,7
142,KMTH75W,168990,7
143,KTB60,149990,7
