PriceList.Code,BaseValue,PriceRule.Code,Item.RefCode,Item.Attribute.0.Value,ItemPrice
HUF-2025-Q12603,41990,PR00010,AVZ30,0,44990
HUF-2025-Q12603,41990,PR00010,AVZ30,0,44990
HUF-2025-Q12603,35990,PR00010,FMFVZ30,0,37990
HUF-2025-Q12603,35990,PR00010,FMFVZ30,0,37990
HUF-2025-Q12603,1390,PR00010,FLB,0,0
HUF-2025-Q12603,250,PR00010,M1,0,0
HUF-2025-Q12603,41190,PR00010,PIFK,0,0
HUF-2025-Q12603,47000,PR00010,TKFL45,0,0
HUF-2025-Q12603,59800,PR00010,TKFL60,0,0
HUF-2025-Q12603,46900,PR00010,TVKL300,0,0
HUF-2025-Q12603,91800,PR00010,TVS_MOB,0,0
HUF-2025-Q12603,97400,PR00010,TVS_M,0,0
HUF-2025-Q12603,34500,PR00010,TKKE,0,0
HUF-2025-Q12603,149900,PR00010,TGEA45,0,0
HUF-2025-Q12603,223400,PR00010,TVKK40H,0,0
HUF-2025-Q12603,383200,PR00010,TVKK60N,0,0
HUF-2025-Q12603,0,PR00010_CF00001,MPF,0,0
HUF-2025-Q12603,149900,PR00010,TGEA60,0,0
HUF-2025-Q12603,87990,PR00010,FU80F,0,99990
HUF-2025-Q12603,94490,PR00010,FZN80,0,0
HUF-2025-Q12603,91800,PR00010,TVS_MOJ,0,0
HUF-2025-Q12603,50900,PR00010,TVKL400,0,0
HUF-2025-Q12603,0,PR00010_CF00002,CT,0,0
HUF-2025-Q12603,0,PR00010_CF00002,MKP,0,0
HUF-2025-Q12603,42200,PR00010,TKKSE45,0,0
HUF-2025-Q12603,42200,PR00010,TKKSE60,0,0
HUF-2025-Q12603,320,PR00010,M15,0,0
HUF-2025-Q12603,51990,PR00011,AAFE40,1,56990
HUF-2025-Q12603,66990,PR00011,AAFE40,2,75990
HUF-2025-Q12603,66990,PR00011,AAFE40,3,75990
HUF-2025-Q12603,66990,PR00011,AAFE40,4,75990
HUF-2025-Q12603,66990,PR00011,AAFE40,5,75990
HUF-2025-Q12603,71990,PR00011,AAFE40,7,77990
HUF-2025-Q12603,51990,PR00011,AAFE40,1,56990
HUF-2025-Q12603,66990,PR00011,AAFE40,2,75990
HUF-2025-Q12603,66990,PR00011,AAFE40,3,75990
HUF-2025-Q12603,66990,PR00011,AAFE40,4,75990
HUF-2025-Q12603,66990,PR00011,AAFE40,5,75990
HUF-2025-Q12603,71990,PR00011,AAFE40,7,77990
HUF-2025-Q12603,53990,PR00011,AAFE45,1,57990
HUF-2025-Q12603,68990,PR00011,AAFE45,2,77990
HUF-2025-Q12603,68990,PR00011,AAFE45,3,77990
HUF-2025-Q12603,68990,PR00011,AAFE45,4,77990
HUF-2025-Q12603,68990,PR00011,AAFE45,5,77990
HUF-2025-Q12603,73990,PR00011,AAFE45,7,79990
